Designator,Mid X,Mid Y,Layer,Rotation
C406,83.10,-27.20,T,0.00
C406,83.10,-88.70,T,0.00
C406,13.10,-27.20,T,0.00
C701,114.20,-61.10,T,270.00
C701,44.20,-61.10,T,270.00
C701,44.20,-122.60,T,270.00
C701,114.20,-122.60,T,270.00
C702,42.20,-121.80,T,270.00
C702,42.20,-60.30,T,270.00
C702,112.20,-121.80,T,270.00
C702,112.20,-60.30,T,270.00
C703,33.10,-118.30,T,270.00
C703,33.10,-56.80,T,270.00
